customer_id,segment,region,avg_monthly_spend,payment_delay_days,customer_satisfaction,interaction_count,issue_resolution_time,debt_status,demand_cluster,churn_risk,debt_risk
1,Low-Value,Rural,476.20575758435166,82,5.726964264678106,27,25.61286053890081,Late Payment,2,0,0
2,High-Value,Urban,932.2414130656257,109,7.516875184951463,46,15.09876950670351,Paid on Time,1,0,0
3,Low-Value,Rural,876.6131493362029,44,1.1772038077817597,26,18.892370145150498,Late Payment,1,1,0
4,Low-Value,Urban,914.9460230380496,78,7.213398144682811,27,9.399734301041022,Paid on Time,1,0,0
5,High-Value,Rural,1212.566457645149,79,9.410663965639282,24,23.992091810912296,Default,1,0,1
6,High-Value,Rural,1090.2300773357213,1,7.425478718440787,5,18.496205959793755,Late Payment,1,0,0
7,Low-Value,Urban,384.5765501937151,92,1.3311435186749665,42,21.149945458221538,Late Payment,2,1,0
8,Medium-Value,Rural,224.600238028609,67,4.400970766954515,38,11.87238530226094,Paid on Time,2,0,0
9,Low-Value,Suburban,1485.889352580427,116,8.286231720441574,28,13.482702188832937,Paid on Time,0,0,0
10,Low-Value,Urban,1163.4631282637956,49,9.62747695039978,42,7.022780405969247,Paid on Time,1,0,0
11,Low-Value,Suburban,782.1014593506011,28,4.331470200727395,43,28.493523744705282,Late Payment,1,0,0
12,Low-Value,Urban,1635.8798627463405,94,8.570746502892174,32,28.450153591210658,Paid on Time,0,0,0
13,High-Value,Rural,837.3111010958182,80,8.774288877713616,24,24.714786169957218,Default,1,0,1
14,Low-Value,Rural,1612.3336702411543,9,2.10957759393445,6,28.131098456776332,Paid on Time,0,1,0
15,Medium-Value,Rural,680.9366422735119,26,8.612096200468187,10,20.294513524830982,Paid on Time,2,0,0
16,High-Value,Urban,238.40606533587953,116,3.9182490607475353,46,7.80490420978917,Paid on Time,2,1,0
17,Medium-Value,Suburban,1872.0154182198653,104,6.339139494088756,3,23.046105143582245,Default,0,0,1
18,Medium-Value,Suburban,849.6471456346089,14,5.8506590742077895,7,10.43301006800937,Paid on Time,1,0,0
19,Medium-Value,Urban,1606.115888413818,59,6.967484773625086,29,13.77396898965401,Paid on Time,0,0,0
20,Medium-Value,Urban,630.3738531223785,107,7.664181858502572,34,8.956154751805721,Late Payment,2,0,0
21,High-Value,Suburban,1328.0937130349464,30,4.967929878567221,7,13.28503561391682,Late Payment,1,0,0
22,High-Value,Suburban,1759.2906591896838,20,8.994797399342191,17,20.700203604044155,Paid on Time,0,0,0
23,Medium-Value,Suburban,179.12364244596262,59,8.28548579405405,13,4.207706277845864,Late Payment,2,0,0
24,Medium-Value,Suburban,1678.2079529035695,57,8.068789833830738,21,4.0510009407974765,Paid on Time,0,0,0
25,High-Value,Urban,1185.5327094466643,40,5.124221577408626,31,20.82933035055612,Paid on Time,1,0,0
26,High-Value,Urban,1254.1963324262815,45,1.3381559726014913,9,23.60785383646362,Default,1,1,1
27,High-Value,Rural,1094.000201531367,44,5.430307657410499,45,16.992533856658586,Paid on Time,1,0,0
28,Low-Value,Suburban,1761.5026962389206,25,9.086009807297646,47,6.267589407956499,Late Payment,0,0,0
29,Low-Value,Rural,182.52337874771118,101,2.71405140046767,13,13.491948602468662,Late Payment,2,1,0
30,Low-Value,Urban,595.9539439181115,50,9.84333224809529,17,22.987090149136417,Late Payment,2,0,0
31,Medium-Value,Urban,1763.9488238323952,35,8.269215580118543,8,20.886259945022495,Late Payment,0,0,0
32,Low-Value,Rural,1529.4568348107164,51,7.388468130538583,9,4.186098856761731,Paid on Time,0,0,0
33,Medium-Value,Suburban,133.5258043393511,80,7.094439621300887,9,29.105268247789105,Default,2,0,1
34,Medium-Value,Suburban,1082.3119380984465,50,6.283232937403863,40,7.477552545703759,Default,1,0,1
35,Low-Value,Suburban,1106.1880933540822,2,7.486032909242189,48,7.391295632833186,Paid on Time,1,0,0
36,Medium-Value,Suburban,861.6760567430297,13,4.797150005973885,30,14.335860184618221,Late Payment,1,0,0
37,Low-Value,Rural,665.0473309177804,48,8.607592972181166,7,10.490050741001406,Default,2,0,1
38,Low-Value,Rural,1395.27721578345,76,7.267113604857528,17,29.535593670687426,Default,0,0,1
39,High-Value,Urban,494.8018829390323,104,7.941278011415942,39,3.218203424369827,Paid on Time,2,0,0
40,Low-Value,Suburban,1618.0022679362414,90,8.132386799493815,38,9.886736536775048,Late Payment,0,0,0
41,High-Value,Suburban,1625.7706054581963,0,1.8286304113801228,5,12.098942652391584,Default,0,1,1
42,Low-Value,Suburban,888.996731388359,56,1.5007669541896413,17,15.310310817936273,Paid on Time,1,1,0
43,Low-Value,Rural,638.7412207283305,16,8.208872816362621,40,1.4757864330815138,Default,2,0,1
44,High-Value,Suburban,639.3685450223551,111,3.3344561893442157,1,3.388501822440136,Default,2,1,1
45,High-Value,Rural,1016.3535155927992,49,6.237728267606329,16,8.476479639164534,Late Payment,1,0,0
46,Low-Value,Suburban,1467.2005270237817,97,4.9933976969708755,17,17.06606036888229,Late Payment,0,0,0
47,Medium-Value,Suburban,781.8505128883317,13,1.198352833008708,30,23.265375535610698,Default,1,1,1
48,High-Value,Urban,1259.082356369728,117,1.3625313234964433,31,20.90836511563353,Late Payment,1,1,0
49,Medium-Value,Suburban,826.7204751069293,118,8.444127180509161,35,17.443722468955706,Default,1,0,1
50,Medium-Value,Suburban,678.5940593876284,58,6.469098053398515,45,12.51975235210212,Default,2,0,1
51,Medium-Value,Urban,147.23308024000892,80,5.714587708631604,8,26.25014056542846,Default,2,0,1
52,High-Value,Rural,107.43680089724221,2,9.499168751245753,48,14.333403754489552,Paid on Time,2,0,0
53,Medium-Value,Rural,531.6945878808085,97,2.558035233359604,30,9.67833136265897,Late Payment,2,1,0
54,High-Value,Suburban,872.1719449218914,39,3.321737556929187,39,19.25071833070966,Late Payment,1,1,0
55,Medium-Value,Rural,1717.3962179879145,88,7.810651704120645,21,21.07133490100296,Default,0,0,1
56,Low-Value,Suburban,1617.1200615678083,65,7.977117051621365,15,12.555637100906807,Late Payment,0,0,0
57,Low-Value,Urban,607.6139989171809,33,4.64407476795248,34,1.8161551503315225,Default,2,0,1
58,High-Value,Urban,564.6268416701687,89,9.55880591179384,27,3.7298135068646068,Late Payment,2,0,0
59,Low-Value,Suburban,531.9119350330521,94,9.444291199436536,2,25.52236786491619,Late Payment,2,0,0
60,Low-Value,Urban,744.5509470048473,8,1.1116874355414357,10,2.63988971437393,Default,1,1,1
61,Medium-Value,Urban,1046.5775671672022,93,2.550951121066525,5,18.168570344221834,Late Payment,1,1,0
62,High-Value,Suburban,933.4687668599934,83,8.381974975154842,27,6.327572178032364,Default,1,0,1
63,Medium-Value,Suburban,514.7190776848381,20,4.016950163434075,4,7.638862446081135,Paid on Time,2,0,0
64,Medium-Value,Urban,347.8576788928743,92,1.8591641082984554,47,8.926684832349252,Default,2,1,1
65,Medium-Value,Rural,123.89784372377123,24,8.064992569812253,13,2.1104501997135925,Late Payment,2,0,0
66,Medium-Value,Rural,392.5301534663573,101,5.091251550176885,17,6.13982295006848,Paid on Time,2,0,0
67,Medium-Value,Suburban,1440.1771033688246,43,5.431697080438346,21,19.864499550904274,Paid on Time,0,0,0
68,Medium-Value,Suburban,562.9132817566076,24,2.6773244993455414,23,15.462796950032146,Default,2,1,1
69,Medium-Value,Rural,990.3434392308686,8,6.94805548545035,33,24.122543486429137,Paid on Time,1,0,0
70,High-Value,Urban,1223.472182954165,102,5.961171863103559,15,2.7760210899933124,Default,1,0,1
71,Low-Value,Rural,1784.9977153800535,61,2.8600564401016824,14,26.7780505912973,Late Payment,0,1,0
72,Medium-Value,Rural,1788.824686947497,107,4.062983575952861,9,29.89555742508471,Default,0,0,1
73,Medium-Value,Rural,1516.8940939945821,25,6.371913586025548,44,1.4564591952147066,Paid on Time,0,0,0
74,Medium-Value,Rural,166.7982848921527,56,9.323850298900691,37,29.061561900658063,Default,2,0,1
75,Medium-Value,Suburban,1192.6337962622883,36,9.283387152893425,30,7.8400186761595805,Default,1,0,1
76,Medium-Value,Suburban,1594.5085945798623,15,3.591153139577347,29,21.08375100797507,Late Payment,0,1,0
77,Medium-Value,Urban,132.8472850503901,36,7.620588799838964,23,9.48201985004286,Default,2,0,1
78,Low-Value,Urban,1144.4007659474987,75,7.979671724714285,34,16.132573483678094,Late Payment,1,0,0
79,Low-Value,Urban,1729.7518769934559,23,8.279407899845154,7,15.802136785248807,Paid on Time,0,0,0
80,Medium-Value,Urban,1000.7939441003072,25,6.136860562763321,9,11.472058904023092,Paid on Time,1,0,0
81,Low-Value,Rural,107.80178550515205,19,1.0945719828962903,4,21.808856280361677,Default,2,1,1
82,High-Value,Suburban,120.92538083765417,8,7.855086569016237,2,18.389457974036116,Default,2,0,1
83,Medium-Value,Suburban,891.6084710861261,86,1.9593770484641504,27,15.740033114352094,Paid on Time,1,1,0
84,High-Value,Urban,394.51646809183364,102,2.0518424759836167,33,29.502340045629442,Paid on Time,2,1,0
85,High-Value,Urban,1362.4562484771932,28,6.4506232238153745,32,28.260270459432466,Paid on Time,0,0,0
86,Medium-Value,Rural,1446.7186033216926,30,9.851684689227715,44,28.707639528016184,Default,0,0,1
87,Low-Value,Rural,437.97161137519436,18,3.1828552593921984,45,26.55839483429535,Paid on Time,2,1,0
88,High-Value,Urban,1788.2132481965214,19,6.8122979204608685,46,8.399504823877013,Default,0,0,1
89,Medium-Value,Suburban,939.6249054599592,86,3.732882811638409,37,11.149304898367248,Paid on Time,1,1,0
90,High-Value,Suburban,371.40722442465506,106,9.088535022494767,27,7.700583966819728,Paid on Time,2,0,0
91,High-Value,Suburban,1552.0780363318513,26,6.341652029024776,28,29.599129729462547,Default,0,0,1
92,High-Value,Urban,1600.9515500318685,93,2.8672959489082377,3,5.427194223141244,Late Payment,0,1,0
93,High-Value,Suburban,1314.6613980643692,84,3.3591794540088546,36,11.628840911208261,Default,1,1,1
94,Low-Value,Rural,1721.584551084851,43,4.892326573763089,49,6.772288316861338,Late Payment,0,0,0
95,High-Value,Rural,1501.0086468582756,34,2.098392058268314,43,7.480160553343342,Default,0,1,1
96,High-Value,Urban,1776.190900731282,112,1.7086003143713349,8,8.165548659293133,Late Payment,0,1,0
97,High-Value,Rural,924.3872921224109,70,7.120552561731605,44,19.550449591238667,Late Payment,1,0,0
98,Low-Value,Urban,1520.4345433889407,21,4.664485558802083,41,3.2054317355543063,Late Payment,0,0,0
99,High-Value,Suburban,1999.5279705151843,73,7.5360321268324935,37,17.60336633508974,Default,0,0,1
100,High-Value,Suburban,1477.3692752872764,86,1.9905238039385935,49,24.75930085223899,Default,0,1,1
101,Low-Value,Suburban,316.9491824505511,14,6.488789931109862,45,23.229189521528493,Default,2,0,1
102,Low-Value,Rural,1084.8055726154475,93,4.989761140327664,38,5.383979250187439,Late Payment,1,0,0
103,Low-Value,Urban,1215.960803361753,97,1.521987890113257,22,27.527220308585353,Late Payment,1,1,0
104,High-Value,Suburban,431.00028263564286,12,5.903217804483792,14,23.332621060738447,Default,2,0,1
105,Low-Value,Urban,1929.4941049382714,3,1.7452384724309118,15,1.1537728170525359,Default,0,1,1
106,Low-Value,Suburban,433.601577505771,81,8.449477730119073,46,22.383835372647997,Paid on Time,2,0,0
107,High-Value,Rural,437.36004745512327,55,6.687617188510259,4,22.385228680037958,Paid on Time,2,0,0
108,Low-Value,Rural,1838.8175621516543,22,6.012707803844036,18,15.407666335659556,Paid on Time,0,0,0
109,High-Value,Urban,983.890322931175,96,2.2012210402269314,1,2.3334900641847938,Paid on Time,1,1,0
110,Medium-Value,Rural,220.0577306215808,97,3.5871140215367467,12,17.817272210188136,Paid on Time,2,1,0
111,Low-Value,Rural,1236.5562498832044,33,5.435883074217694,41,23.206656040994968,Default,1,0,1
112,Medium-Value,Urban,1243.470062402791,99,6.699551622757192,42,8.855347604309017,Late Payment,1,0,0
113,High-Value,Suburban,222.55144150446742,98,2.6490764686794,17,20.344978329301835,Late Payment,2,1,0
